"Task","Cue","curColor","curMotion","TaskTransition","CueTransition","ResponseTransition","miniBlockSize","correctResponse","miniBlockTrial","miniBlock","Block",
1,2,1,1,-1,-1,-1,4,1,1,1,1,
1,2,1,1,-1,-1,1,4,1,2,1,1,
1,2,2,1,-1,-1,1,4,2,3,1,1,
1,2,1,1,-1,-1,1,4,1,4,1,1,
2,1,2,2,1,1,0,3,2,1,2,1,
2,1,2,2,1,1,0,3,2,2,2,1,
2,1,2,2,1,1,0,3,2,3,2,1,
2,2,1,2,0,1,1,4,2,1,3,1,
2,2,1,2,0,1,1,4,2,2,3,1,
2,2,1,2,0,1,0,4,2,3,3,1,
2,2,1,1,0,1,1,4,1,4,3,1,
2,2,1,2,0,0,1,3,2,1,4,1,
2,2,1,2,0,0,1,3,2,2,4,1,
2,2,2,2,0,0,0,3,2,3,4,1,
2,2,2,1,0,0,0,4,1,1,5,1,
2,2,2,1,0,0,0,4,1,2,5,1,
2,2,2,2,0,0,1,4,2,3,5,1,
2,2,2,2,0,0,0,4,2,4,5,1,
2,1,2,2,0,1,1,5,2,1,6,1,
2,1,2,2,0,1,1,5,2,2,6,1,
2,1,2,1,0,1,1,5,1,3,6,1,
2,1,1,2,0,1,1,5,2,4,6,1,
2,1,1,1,0,1,1,5,1,5,6,1,
2,1,2,2,0,0,1,4,2,1,7,1,
2,1,2,2,0,0,1,4,2,2,7,1,
2,1,1,1,0,0,1,4,1,3,7,1,
2,1,1,1,0,0,0,4,1,4,7,1,
1,1,1,2,1,0,1,4,1,1,8,1,
1,1,1,2,1,0,1,4,1,2,8,1,
1,1,2,1,1,0,1,4,2,3,8,1,
1,1,2,1,1,0,0,4,2,4,8,1,
1,2,1,1,0,1,1,3,1,1,9,1,
1,2,1,1,0,1,1,3,1,2,9,1,
1,2,1,1,0,1,0,3,1,3,9,1,
1,1,2,2,0,1,1,5,2,1,10,1,
1,1,2,2,0,1,1,5,2,2,10,1,
1,1,2,2,0,1,0,5,2,3,10,1,
1,1,2,2,0,1,0,5,2,4,10,1,
1,1,1,1,0,1,1,5,1,5,10,1,
1,2,2,2,0,1,1,5,2,1,11,1,
1,2,2,2,0,1,1,5,2,2,11,1,
1,2,1,2,0,1,1,5,1,3,11,1,
1,2,2,2,0,1,1,5,2,4,11,1,
1,2,1,2,0,1,1,5,1,5,11,1,
1,2,2,2,0,0,1,3,2,1,12,1,
1,2,2,2,0,0,1,3,2,2,12,1,
1,2,1,2,0,0,1,3,1,3,12,1,
1,1,2,2,0,1,0,4,2,1,13,1,
1,1,2,2,0,1,0,4,2,2,13,1,
1,1,2,2,0,1,0,4,2,3,13,1,
1,1,1,1,0,1,1,4,1,4,13,1,
2,1,2,1,1,1,1,5,1,1,14,1,
2,1,2,1,1,1,1,5,1,2,14,1,
2,1,1,1,1,1,0,5,1,3,14,1,
2,1,1,1,1,1,0,5,1,4,14,1,
2,1,1,1,1,1,0,5,1,5,14,1,
2,2,2,2,0,1,0,4,2,1,15,1,
2,2,2,2,0,1,0,4,2,2,15,1,
2,2,1,2,0,1,0,4,2,3,15,1,
2,2,1,2,0,1,0,4,2,4,15,1,
2,1,1,2,0,1,0,3,2,1,16,1,
2,1,1,2,0,1,0,3,2,2,16,1,
2,1,1,1,0,1,1,3,1,3,16,1,
1,2,1,1,1,1,1,3,1,1,17,1,
1,2,1,1,1,1,1,3,1,2,17,1,
1,2,2,1,1,1,1,3,2,3,17,1,
1,1,1,1,0,1,1,4,1,1,18,1,
1,1,1,1,0,1,1,4,1,2,18,1,
1,1,1,1,0,1,0,4,1,3,18,1,
1,1,1,2,0,1,0,4,1,4,18,1,
2,2,2,2,1,1,1,3,2,1,19,1,
2,2,2,2,1,1,1,3,2,2,19,1,
2,2,2,1,1,1,1,3,1,3,19,1,
1,1,1,2,1,0,0,4,1,1,20,1,
1,1,1,2,1,0,0,4,1,2,20,1,
1,1,2,2,1,0,1,4,2,3,20,1,
1,1,2,1,1,0,0,4,2,4,20,1,
1,1,1,2,0,0,0,5,1,1,21,1,
1,1,1,2,0,0,0,5,1,2,21,1,
1,1,2,2,0,0,1,5,2,3,21,1,
1,1,1,2,0,0,1,5,1,4,21,1,
1,1,2,1,0,0,1,5,2,5,21,1,
1,1,1,2,0,0,0,3,1,1,22,1,
1,1,1,2,0,0,0,3,1,2,22,1,
1,1,1,1,0,0,0,3,1,3,22,1,
1,1,1,1,0,0,1,4,1,1,23,1,
1,1,1,1,0,0,1,4,1,2,23,1,
1,1,1,2,0,0,0,4,1,3,23,1,
1,1,2,2,0,0,1,4,2,4,23,1,
1,1,1,1,0,0,1,4,1,1,24,1,
1,1,1,1,0,0,1,4,1,2,24,1,
1,1,2,2,0,0,1,4,2,3,24,1,
1,1,1,2,0,0,1,4,1,4,24,1,
1,2,2,2,0,1,0,4,2,1,25,1,
1,2,2,2,0,1,0,4,2,2,25,1,
1,2,2,2,0,1,0,4,2,3,25,1,
1,2,2,1,0,1,0,4,2,4,25,1,
2,1,2,2,1,1,0,5,2,1,26,1,
2,1,2,2,1,1,0,5,2,2,26,1,
2,1,1,2,1,1,0,5,2,3,26,1,
2,1,2,2,1,1,0,5,2,4,26,1,
