Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,Block
1,2,2,1,-1,-1,-1,1,2,1,1,1
1,1,2,1,0,1,0,1,2,1,2,1
2,1,1,1,1,1,1,1,1,1,3,1
2,2,2,2,0,1,1,1,2,1,4,1
2,1,1,2,0,1,0,1,2,1,5,1
2,1,1,1,0,0,1,1,1,1,6,1
2,2,2,2,0,1,1,1,2,1,7,1
2,1,1,2,0,1,0,1,2,1,8,1
1,2,1,1,1,0,1,1,1,1,9,1
1,2,2,1,0,0,1,1,2,1,10,1
1,1,1,2,0,1,1,1,1,1,11,1
1,2,2,2,0,1,1,1,2,1,12,1
1,2,2,2,0,0,0,1,2,1,13,1
1,1,2,2,0,1,0,1,2,1,14,1
2,2,2,2,1,1,0,1,2,1,15,1
1,2,2,2,1,1,0,1,2,1,16,1
1,1,2,2,0,1,0,1,2,1,17,1
1,1,2,1,0,0,0,1,2,1,18,1
1,2,2,2,0,1,0,1,2,1,19,1
1,2,1,1,0,0,1,1,1,1,20,1
1,2,2,2,0,0,1,1,2,1,21,1
2,1,1,2,1,0,0,1,2,1,22,1
1,1,1,2,1,0,1,1,1,1,23,1
1,2,1,1,0,1,0,1,1,1,24,1
1,1,2,1,0,1,1,1,2,1,25,1
1,1,2,2,0,0,0,1,2,1,26,1
1,1,1,1,0,0,1,1,1,1,27,1
1,2,1,1,0,1,0,1,1,1,28,1
2,2,1,1,1,1,0,1,1,1,29,1
2,2,2,2,0,0,1,1,2,1,30,1
2,1,2,2,0,1,0,1,2,1,31,1
2,2,2,2,0,1,0,1,2,1,32,1
2,2,2,1,0,0,1,1,1,1,33,1
1,1,2,1,1,1,1,1,2,1,34,1
1,1,2,1,0,0,0,1,2,1,35,1
2,2,1,2,1,0,0,1,2,1,36,1
2,2,2,2,0,0,0,1,2,1,37,1
2,1,1,1,0,1,1,1,1,1,38,1
2,2,1,1,0,1,0,1,1,1,39,1
1,1,1,1,1,1,0,1,1,1,40,1
1,2,1,1,0,1,0,1,1,1,41,1
1,1,2,2,0,1,1,1,2,1,42,1
1,2,2,1,0,1,0,1,2,1,43,1
1,1,1,1,0,1,1,1,1,1,44,1
1,2,2,2,0,1,1,1,2,1,45,1
2,2,1,2,1,1,0,1,2,1,46,1
1,1,1,1,1,1,1,1,1,1,47,1
2,1,2,1,1,1,0,1,1,1,48,1
2,2,1,1,0,1,0,1,1,1,49,1
2,2,1,1,0,0,0,1,1,1,50,1
2,2,1,2,0,0,1,1,2,1,51,1
1,2,1,1,1,0,1,1,1,1,52,1
2,1,1,1,1,0,0,1,1,1,53,1
2,1,2,1,0,0,0,1,1,1,54,1
2,2,2,1,0,1,0,1,1,1,55,1
2,1,2,2,0,1,1,1,2,1,56,1
1,2,2,2,1,1,0,1,2,1,57,1
1,1,2,2,0,1,0,1,2,1,58,1
1,1,2,2,0,0,0,1,2,1,59,1
1,1,2,2,0,0,0,1,2,1,60,1
1,1,1,1,0,0,1,1,1,1,61,1
1,2,1,1,0,1,0,1,1,1,62,1
1,2,2,2,0,0,1,1,2,1,63,1
1,1,1,1,0,1,1,1,1,1,64,1
2,2,1,1,1,0,0,1,1,1,65,1
2,1,2,2,0,1,1,1,2,1,66,1
1,1,1,1,1,0,1,1,1,1,67,1
2,1,2,2,1,1,1,1,2,1,68,1
2,1,2,2,0,0,0,1,2,1,69,1
2,2,1,2,0,1,0,1,2,1,70,1
2,2,1,1,0,0,1,1,1,1,71,1
2,1,1,1,0,1,0,1,1,1,72,1
2,1,2,2,0,0,1,1,2,1,73,1
1,2,2,2,1,1,0,1,2,1,74,1
2,1,2,2,1,0,0,1,2,1,75,1
2,1,1,2,0,0,0,1,2,1,76,1
2,2,2,2,0,1,0,1,2,1,77,1
1,1,2,2,1,1,0,1,2,1,78,1
1,1,1,1,0,0,1,1,1,1,79,1
1,2,2,1,0,1,1,1,2,1,80,1
1,2,1,2,0,0,1,1,1,1,81,1
2,1,1,1,1,1,0,1,1,1,82,1
2,1,1,1,0,0,0,1,1,1,83,1
2,1,1,1,0,0,0,1,1,1,84,1
2,2,1,2,0,1,1,1,2,1,85,1
2,2,1,2,0,0,0,1,2,1,86,1
2,2,2,2,0,0,0,1,2,1,87,1
1,2,1,2,1,1,1,1,1,1,88,1
1,2,2,2,0,0,1,1,2,1,89,1
2,2,2,2,1,0,0,1,2,1,90,1
2,1,1,1,0,1,1,1,1,1,91,1
2,1,2,2,0,0,1,1,2,1,92,1
2,1,2,2,0,0,0,1,2,1,93,1
2,2,1,1,0,1,1,1,1,1,94,1
2,1,2,2,0,1,1,1,2,1,95,1
2,1,1,1,0,0,1,1,1,1,96,1
1,1,2,2,1,0,1,1,2,1,97,1
1,1,1,1,0,0,1,1,1,1,98,1
2,2,2,2,1,1,1,1,2,1,99,1
2,1,1,1,0,1,1,1,1,1,100,1
2,2,1,1,0,1,0,1,1,1,101,1
2,1,1,2,0,1,1,1,2,1,102,1
2,1,1,2,0,0,0,1,2,1,103,1
1,2,1,2,1,0,1,1,1,1,104,1
1,1,1,1,0,1,0,1,1,1,105,1
1,1,1,1,0,0,0,1,1,1,106,1
1,2,2,2,0,1,1,1,2,1,107,1
1,2,2,2,0,0,0,1,2,1,108,1
1,2,1,1,0,0,1,1,1,1,109,1
1,2,2,2,0,0,1,1,2,1,110,1
2,1,2,2,1,0,0,1,2,1,111,1
2,1,1,1,0,0,1,1,1,1,112,1
1,2,2,2,1,0,1,1,2,1,113,1
1,2,2,2,0,0,0,1,2,1,114,1
1,2,1,2,0,0,1,1,1,1,115,1
1,1,1,1,0,1,0,1,1,1,116,1
1,1,2,2,0,0,1,1,2,1,117,1
2,2,2,2,1,0,0,1,2,1,118,1
2,1,2,2,0,1,0,1,2,1,119,1
2,2,1,1,0,1,1,1,1,1,120,1
2,2,2,2,0,0,1,1,2,1,121,1
2,2,2,2,0,0,0,1,2,1,122,1
2,2,1,1,0,0,1,1,1,1,123,1
2,2,2,2,0,0,1,1,2,1,124,1
1,1,1,1,1,0,1,1,1,1,125,1
1,1,1,2,0,0,0,1,1,1,126,1
1,2,2,2,0,1,1,1,2,1,127,1
1,1,1,1,0,1,1,1,1,1,128,1
1,2,1,2,0,1,0,1,1,1,129,1
1,1,2,1,0,1,1,1,2,1,130,1
1,1,2,1,-1,-1,-1,1,2,1,131,2
2,2,2,2,1,1,0,1,2,1,132,2
1,1,2,2,1,0,0,1,2,1,133,2
1,2,1,1,0,1,1,1,1,1,134,2
2,2,2,2,1,0,1,1,2,1,135,2
2,1,2,2,0,1,0,1,2,1,136,2
2,2,1,1,0,1,1,1,1,1,137,2
2,2,2,2,0,0,1,1,2,1,138,2
2,1,1,1,0,1,1,1,1,1,139,2
2,2,1,1,0,1,0,1,1,1,140,2
1,2,2,2,1,0,1,1,2,1,141,2
1,1,1,2,0,1,1,1,1,1,142,2
2,2,1,2,1,1,1,1,2,1,143,2
2,2,1,1,0,0,1,1,1,1,144,2
2,1,1,1,0,1,0,1,1,1,145,2
1,1,2,2,1,1,1,1,2,1,146,2
1,2,2,2,0,1,0,1,2,1,147,2
1,2,2,2,0,0,0,1,2,1,148,2
2,1,1,2,1,0,0,1,2,1,149,2
2,1,2,2,0,0,0,1,2,1,150,2
2,1,2,2,0,0,0,1,2,1,151,2
2,2,1,2,0,1,0,1,2,1,152,2
2,1,1,2,0,1,0,1,2,1,153,2
2,2,1,1,0,1,1,1,1,1,154,2
1,1,1,1,1,1,0,1,1,1,155,2
1,1,1,1,0,0,0,1,1,1,156,2
2,1,2,1,1,1,0,1,1,1,157,2
2,2,2,2,0,1,1,1,2,1,158,2
2,2,1,1,0,0,1,1,1,1,159,2
2,2,2,2,0,0,1,1,2,1,160,2
2,1,2,2,0,1,0,1,2,1,161,2
2,1,1,2,0,0,0,1,2,1,162,2
2,1,1,1,0,0,1,1,1,1,163,2
1,1,2,1,1,1,1,1,2,1,164,2
1,2,2,2,0,1,0,1,2,1,165,2
2,1,2,2,1,1,0,1,2,1,166,2
2,2,1,2,0,1,0,1,2,1,167,2
2,2,2,2,0,0,0,1,2,1,168,2
1,2,1,1,1,0,1,1,1,1,169,2
1,2,2,2,0,0,1,1,2,1,170,2
2,2,2,2,1,1,0,1,2,1,171,2
1,2,1,1,1,0,1,1,1,1,172,2
2,1,2,2,1,0,1,1,2,1,173,2
2,1,2,1,0,0,1,1,1,1,174,2
2,2,2,1,0,1,0,1,1,1,175,2
2,1,2,2,0,1,1,1,2,1,176,2
1,2,2,2,1,1,0,1,2,1,177,2
1,1,2,1,0,1,0,1,2,1,178,2
1,1,2,2,0,0,0,1,2,1,179,2
1,1,2,2,0,0,0,1,2,1,180,2
1,2,1,2,0,1,1,1,1,1,181,2
2,1,1,1,1,1,0,1,1,1,182,2
1,2,2,2,1,1,1,1,2,1,183,2
1,2,1,1,0,0,1,1,1,1,184,2
1,2,1,2,0,0,0,1,1,1,185,2
1,2,2,2,0,0,1,1,2,1,186,2
1,2,2,1,0,0,0,1,2,1,187,2
1,1,2,2,0,1,0,1,2,1,188,2
2,1,1,1,1,0,1,1,1,1,189,2
2,1,1,1,0,0,0,1,1,1,190,2
1,1,1,2,1,0,0,1,1,1,191,2
1,2,2,2,0,1,1,1,2,1,192,2
1,1,2,2,0,1,0,1,2,1,193,2
1,1,1,2,0,0,1,1,1,1,194,2
2,2,2,2,1,0,1,1,2,1,195,2
2,1,1,1,0,1,1,1,1,1,196,2
2,1,1,2,0,0,1,1,2,1,197,2
1,1,1,1,1,1,1,1,1,1,198,2
1,2,2,2,0,1,1,1,2,1,199,2
1,1,1,1,0,1,1,1,1,1,200,2
2,2,1,1,1,0,0,1,1,1,201,2
2,1,1,2,0,1,1,1,2,1,202,2
2,1,1,1,0,0,1,1,1,1,203,2
2,2,1,1,0,1,0,1,1,1,204,2
2,2,1,2,0,0,1,1,2,1,205,2
1,2,1,2,1,1,1,1,1,1,206,2
1,1,2,2,0,1,1,1,2,1,207,2
1,2,1,1,0,1,1,1,1,1,208,2
1,1,2,1,0,1,1,1,2,1,209,2
1,2,2,2,0,1,0,1,2,1,210,2
1,2,1,1,0,0,1,1,1,1,211,2
2,2,2,2,1,1,1,1,2,1,212,2
2,2,2,2,0,0,0,1,2,1,213,2
2,1,2,2,0,1,0,1,2,1,214,2
2,2,2,2,0,1,0,1,2,1,215,2
1,1,1,1,1,0,1,1,1,1,216,2
1,1,2,2,0,0,1,1,2,1,217,2
1,1,1,1,0,0,1,1,1,1,218,2
1,1,2,1,0,0,1,1,2,1,219,2
1,1,2,1,0,0,0,1,2,1,220,2
1,2,2,1,0,1,0,1,2,1,221,2
1,2,1,2,0,0,1,1,1,1,222,2
1,1,1,1,0,1,0,1,1,1,223,2
2,1,1,1,1,1,0,1,1,1,224,2
2,2,2,2,0,1,1,1,2,1,225,2
2,2,1,2,0,0,0,1,2,1,226,2
2,2,1,1,0,0,1,1,1,1,227,2
2,2,2,2,0,0,1,1,2,1,228,2
2,1,1,2,0,1,0,1,2,1,229,2
2,2,2,2,0,1,0,1,2,1,230,2
1,1,1,1,1,0,1,1,1,1,231,2
1,2,1,1,0,1,0,1,1,1,232,2
1,2,2,2,0,0,1,1,2,1,233,2
1,1,1,1,0,1,1,1,1,1,234,2
1,1,1,1,0,0,0,1,1,1,235,2
1,2,2,1,0,1,1,1,2,1,236,2
2,2,1,1,1,1,1,1,1,1,237,2
1,2,1,2,1,0,0,1,1,1,238,2
1,1,2,2,0,1,1,1,2,1,239,2
1,1,2,2,0,0,0,1,2,1,240,2
1,2,1,1,0,1,1,1,1,1,241,2
1,1,1,1,0,1,0,1,1,1,242,2
1,1,1,1,0,0,0,1,1,1,243,2
1,1,1,1,0,0,0,1,1,1,244,2
2,2,1,2,1,0,1,1,2,1,245,2
2,1,2,2,0,1,0,1,2,1,246,2
2,1,2,2,0,0,0,1,2,1,247,2
2,1,1,1,0,0,1,1,1,1,248,2
1,2,2,2,1,1,1,1,2,1,249,2
1,2,2,2,0,0,0,1,2,1,250,2
1,2,2,2,0,0,0,1,2,1,251,2
1,2,2,2,0,0,0,1,2,1,252,2
1,1,1,1,0,1,1,1,1,1,253,2
2,1,2,2,1,0,1,1,2,1,254,2
2,2,1,1,0,1,1,1,1,1,255,2
2,2,2,2,0,0,1,1,2,1,256,2
2,2,2,1,0,0,1,1,1,1,257,2
2,1,1,1,0,1,0,1,1,1,258,2
2,1,1,1,0,0,0,1,1,1,259,2
2,1,2,2,0,0,1,1,2,1,260,2
